ID,Title,Dynasty,Artist,Format,Material,H,W,A,Size,Institute,Nationality,Source,Note,Seals and Inscriptions,Set,Tag1,Tag2,Tag3,Tag4
81,古柏歸禽圖,SS1,佚名,circular 圓幅,Silk 絹本,23.5,24.7,580.45,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,animal,plant,,
82,達摩面壁圖,,佚名,hanging scroll 軸,Silk 絹本,116.2,46.3,5380.06,L,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,,,,
83,釋迦出山圖,SS2,佚名,hanging scroll 軸,Paper 紙本,74.6,32.4,2417.04,M,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,,,,
84,普賢菩薩圖,SS1,佚名,hanging scroll 軸,Silk 絹本,114.8,55.1,6325.48,L,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,,,,
85,羅漢圖,SS2,佚名,hanging scroll 軸,Silk 絹本,93.7,49.7,4656.89,M,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,,,,
86,大智律師圖,,佚名,hanging scroll 軸,Silk 絹本,92.5,40.5,3746.25,M,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,,,,
87,溪山無盡圖,NS2,佚名,handscroll 卷,Silk 絹本,35.1,215.3,7557.03,XL,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,,,,
88,仿周昉 嬰戲圖,SS0,佚名,squarish 方幅,Silk 絹本,30.3,49.3,1493.79,S,"Metropolitan Museum of Art, USA",USA,宋畫全集第六卷第三冊,,,,figure,,,
89,龍虎圖1,SS2,傳 牧谿（法常）,hanging scroll 軸,Silk 絹本,123.8,55.9,6920.42,L,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,龍虎圖對幅,,,,
90,龍虎圖2,SS2,傳 牧谿（法常）,hanging scroll 軸,Silk 絹本,123.8,55.9,6920.42,L,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,龍虎圖對幅,,,,
91,江堤放牧圖,SS2,閻次平,circular 圓幅,Silk 絹本,22.7,21.6,490.32,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,landscape,,,
92,坐看雲起,SS2,馬麟,circular 圓幅,Silk 絹本,25.1,25.3,635.03,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,1256,理宗題跋，丙辰、御書之寶,,figure,landscape,,
93,春郊回雁圖,SS2,馬麟,squarish 方幅,Silk 絹本,25.5,26.1,665.55,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,類似上博郊原曳杖,,,landscape,animal,figure,
94,松蔭鳴琴圖,SS1,劉松年,squarish 方幅,Silk 絹本,24,24.1,578.4,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,figure,,,
95,溪山蘭若,NS1,巨然,hanging scroll 軸,Silk 絹本,185.4,57.5,10660.5,L,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,,,,
96,放牧圖,SS2,李氏,circular 圓幅,Silk 絹本,24.8,25.7,637.36,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,animal,figure,,
97,胡騎秋獵圖,SS0,傳 陳居中,circular 圓幅,Silk 絹本,24.4,27.3,666.12,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,類似大都會胡騎春獵圖,,,figure,landscape,,
98,寒林聚禽圖,NS2,高燾,hanging scroll 軸,Silk 絹本,175,90.2,15785,L,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,,,,
99,貨郎圖,SS2,傳 李嵩,circular 圓幅,Silk 絹本,24.2,25.7,621.94,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,figure,architecture,,
100,喜鵲野兔,SS2,李永,squarish 方幅,Silk 絹本,24.7,24,592.8,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,animal,,,
101,樹禽急湍,SS0,傳 李迪,squarish 方幅,Silk 絹本,24.8,25.8,639.84,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,類似故宮松澗山禽,,,animal,plant,landscape,
102,竹蟲圖,SS2,吳炳,circular 圓幅,Silk 絹本,24.2,26.8,648.56,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,animal,plant,,
103,煙江帆影圖,SS2,傳 夏森,circular 圓幅,Silk 絹本,24.4,27.1,661.24,S,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,landscape,,,
104,蠻王禮佛圖,,傳 趙光輔,handscroll 卷,Silk 絹本,28.6,103.5,2960.1,L,"Cleveland Museum of Art, USA",USA,宋畫全集第六卷第二冊,,,,,,,
105,龍眠山莊圖,,傳 李公麟,handscroll 卷,Paper 紙本,28.9,364.6,10536.94,XL,"Cleveland Museum of Art, USA",USA,,,,,,,,
106,陶淵明歸隱圖,NS2,傳 李公麟； 李鵬,handscroll 卷,Silk 絹本,37,521.5,19295.5,XL,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,,,,
107,洞庭秋月圖,SS2,夏珪,hanging scroll 軸,Silk 絹本,189.6,108.9,20647.44,L,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,理宗前期，早於十二山水,臣夏圭，理宗題跋,,,,,
108,歸漁圖,SS2,傳 梁楷,circular 圓幅,Silk 絹本,23.9,24.7,590.33,S,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,,figure,landscape,,
109,睢陽五老圖（馮平）,NS1,佚名,squarish 方幅,Silk 絹本,42.4,32.6,1382.24,S,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,睢陽五老圖五幅,figure,,,
110,睢陽五老圖（王渙）,NS1,佚名,squarish 方幅,Silk 絹本,41.7,31.7,1321.89,S,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,睢陽五老圖五幅,figure,,,
111,內人雙陸圖,SS2,佚名,handscroll 卷,Silk 絹本,30.5,47.6,1451.8,S,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,figure,,,
112,人馬圖,NS2,佚名,hanging scroll 軸,Silk 絹本,120.7,46.4,5600.48,L,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,,,,,
113,溪畔歸牧圖,SS0,佚名,squarish 方幅,Silk 絹本,24.8,24.2,600.16,S,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,,animal,landscape,,
114,歸牧圖,SS1,佚名,squarish 方幅,Silk 絹本,23.5,25.1,589.85,S,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,類似大和文化館雪中歸牧,,,animal,landscape,,
115,飲茶圖,SS0,佚名,circular 圓幅,Silk 絹本,23.2,25.1,582.32,S,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,五代摹本,,,figure,,,
116,浴嬰圖,SS0,佚名,circular 圓幅,Silk 絹本,23.2,24.7,573.04,S,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,五代摹本,,,figure,,,
117,雲起樓圖,SS0,佚名,hanging scroll 軸,Silk 絹本,150,78.8,11820,L,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,,,,,
118,五百羅漢圖89,SS1,林庭珪、周季常,hanging scroll 軸,Silk 絹本,109.9,52.7,5791.73,L,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,五百羅漢圖,,,,
119,五百羅漢圖90,SS1,林庭珪、周季常,hanging scroll 軸,Silk 絹本,112.3,53.5,6008.05,L,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,五百羅漢圖,,,,
120,溪山秋霽圖,NS1,傳　郭熙,handscroll 卷,Silk 絹本,25.8,206,5314.8,XL,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,類似王詵煙江疊嶂,,,,,,
121,中山出遊圖,SS2,龔開,handscroll 卷,Paper 紙本,32.8,169.5,5559.6,L,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,,,,,
122,風雪松杉圖,SS1,李山,handscroll 卷,Silk 絹本,29.1,172.8,5028.48,L,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,,,,,
123,山水圖 （山村歸騎圖）,SS1,閰次于,squarish 方幅,Silk 絹本,25.3,25.6,647.68,S,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,,landscape,architecture,figure,
124,梅花詩意圖,NS2,巖叟,handscroll 卷,Silk 絹本,19,112.9,2145.1,L,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,,,,,
125,洛神圖,SS2,傳 顧愷之,handscroll 卷,Silk 絹本,24.2,310.9,7523.78,XL,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,,,,
126,豳風七月圖,SS2,傳 馬和之,handscroll 卷,Paper 紙本,28.8,436.2,12562.56,XL,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,,,,
127,人馬圖,SS0,傳 張戡,hanging scroll 軸,Silk 絹本,120.7,46.4,5600.48,L,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,,,,,
128,獵騎圖,SS2,傳 張戡,hanging scroll 軸,Silk 絹本,91.4,52.2,4771.08,M,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,,,,
129,松杉行旅圖,SS2,傳 李山,hanging scroll 軸,Silk 絹本,164.1,107.4,17624.34,L,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,,,,,
130,溪山獨釣圖,SS2,傳 范寬,handscroll 卷,Silk 絹本,32.4,85.9,2783.16,M,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,,,,
131,水仙圖,SS2,趙孟堅,handscroll 卷,Paper 紙本,31.5,76.6,2412.9,M,"Freer Gallery of Art, USA",USA,宋畫全集第六卷第六冊,,,,,,,
132,雪山行旅圖,SS2,佚名,circular 圓幅,Silk 絹本,24.3,25.7,624.51,S,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,landscape,figure,,
133,待渡圖,SS2,佚名,circular 圓幅,Silk 絹本,23.8,25.2,599.76,S,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,landscape,,,
134,湖亭遊覽圖,SS2,佚名,circular 圓幅,Silk 絹本,26.9,28.1,755.89,S,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,landscape,architecture,,
135,柳蔭牧牛圖,SS2,傳 夏圭,circular 圓幅,Silk 絹本,24.2,24.7,597.74,S,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,animal,landscape,,
136,長江萬里圖,SS2,佚名,handscroll 卷,Silk 絹本,43.5,1656.6,72062.1,XL,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,,,,
137,蜀川圖,SS2,佚名,handscroll 卷,Paper 紙本,32.3,752.1,24292.83,XL,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,,,,
138,水月觀音像,NS1,佚名,hanging scroll 軸,Silk 絹本,106.8,58.9,6290.52,L,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,,,,
139,南無地藏菩薩像,NS1,佚名,hanging scroll 軸,Silk 絹本,106.6,58.1,6193.46,L,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,,,,
140,釋迦牟尼佛會圖,SS2,佚名,handscroll 卷,Paper 紙本,28,52.4,1467.2,S,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,figure,,,
141,達摩渡江圖,SS2,傳 梁楷,hanging scroll 軸,Silk 絹本,46.7,26,1214.2,S,"Freer Gallery of Art, USA",USA,Song and Yuan Painting and Calligraphy Project,,,,figure,,,
